text,political_inclination
"RT @MrAndyNgo: Last year, Daily Beast published a story about a drag queen star named “Sharon Needles” who befriended a minor &amp; allegedly s…",conservative
"RT @MrAndyNgo: Dallas, Texas: Masked far-left militants tried to rob &amp; attack @alexstein99 at a drag show for children in Mr. Mister, a gay…",conservative
"RT @MrAndyNgo: One of the performers for the drag event for children in Dallas, Texas that was confronted is Andrew Carroll, who also uses…",conservative
RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,conservative
RT @MrAndyNgo: There was a sun wheel-type symbol on a dance float during the #PlatinumJubileePageant. https://t.co/vHUNsRrrKK,conservative
"RT @MrAndyNgo: John Joseph Dean, an attendee of the drag event for children at the gay bar in Dallas, Texas, insults &amp; spits on a videograp…",conservative
"RT @MrAndyNgo: This performer from the children's drag show in Dallas, Texas is Albert Xavier Estrada, who also uses the name ""Arielle Diam…",conservative
RT @MrAndyNgo: Incredible scenes from the #PlatinumJubileePageant in London to celebrate 70 years on the throne for the Queen. https://t.co…,conservative
"RT @MrAndyNgo: @alexstein99 The drag event for children at a gay bar in Dallas, Texas was called ""Drag the Kids to Pride."" It was held at t…",conservative
"And for the surprise finale of the #PlatinumJubileePageant, the Queen and her family appeared in-person on the balcony of Buckingham Palace. The people sang the national anthem, “God Save the Queen.” https://t.co/lsqCIyxuTf",conservative
Ed Sheeran sang a ballad in front of Buckingham Palace for the #PlatinumJubileePageant in London. https://t.co/TQ11IKOUUl,conservative
The crowd rushed toward Buckingham Palace for the finale of the #PlatinumJubileePageant. https://t.co/2zuvGByZv0,conservative
A large dragon display was paraded during the #PlatinumJubileePageant. https://t.co/P8K07cUQj2,conservative
Former super models Kate Moss and Naomi Campbell were among celebrities on a bus at the #PlatinumJubileePageant. Moss recently gave testimony at the Johnny Depp v. Amber Heard trial where she testified she wasn’t abused by him. https://t.co/kapkaPyWUM,conservative
There was a sun wheel-type symbol on a dance float during the #PlatinumJubileePageant. https://t.co/vHUNsRrrKK,conservative
The Queen’s Guard at the #PlatinumJubileePageant in London. https://t.co/G0ppY3qT6E,conservative
Kilts and bagpipes at the #PlatinumJubileePageant in London. https://t.co/G7IRSakPBc,conservative
The 260-year-old Gold State Coach that the Queen rode on when she was coronated was featured in the #PlatinumJubileePageant in London. Archival footage of her was displayed on the carriage. https://t.co/v5F6QWHvTE,conservative
Incredible scenes from the #PlatinumJubileePageant in London to celebrate 70 years on the throne for the Queen. https://t.co/Rmdrm0Xl8j,conservative
A trans attendee of the children’s drag show in Dallas who wanted to show support for transgender children has bravely tweeted that they felt uncomfortable about what they witnessed in the bar. https://t.co/G0eVW4EuYP https://t.co/rvJ3JjJPpv,conservative
"Last year, Daily Beast published a story about a drag queen star named “Sharon Needles” who befriended a minor &amp; allegedly sent child porn to the child. https://t.co/3LOTqmU6Gp",conservative
